,Company Name,Model,Color,Price,MRP,RAM,ROM,Display size,Battery size,Processor
1,Realme,C11,Rich Grey,"7,499","8,999",2 GB,32GB,16.51 cm ,5000 mAh ,Mediatek Helio G35 
2,Realme,C11,Rich Green,"7,499","8,999",2 GB,32GB,16.51 cm ,5000 mAh ,Mediatek Helio G35 
3,Redmi,8,Ruby Red,"9,999","10,999",4 GB,64GB,15.8 cm ,5000 mAh ,Qualcomm Snapdragon 439 
4,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
5,Redmi,8,Sapphire Blue,"9,999","10,999",4 GB,64GB,15.8 cm ,5000 mAh ,Qualcomm Snapdragon 439 
6,Realme,5i,Aqua Blue,"10,999","10,999",4 GB, 64 GB,16.56 cm ,5000 mAh ,Qualcomm Snapdragon 665 2 GHz 
7,Tecno,Spark Power 2,Ice Jadeite,"9,999","11,999",4 GB,64GB,17.78 cm ,6000 mAh Li-ion Polymer ,MediaTek Helio P22 Octa Core 
8,Tecno,Spark Power 2,Misty Grey,"9,999","11,999",4 GB,64GB,17.78 cm ,6000 mAh Li-ion Polymer ,MediaTek Helio P22 Octa Core 
9,Realme,5i,Forest Green,"10,999","10,999",4 GB, 64 GB,16.56 cm ,5000 mAh ,Qualcomm Snapdragon 665 2 GHz 
10,Infinix,Hot 9 Pro,Violet,"10,499","12,999",4 GB,64GB,16.76 cm ,5000 mAh Li-ion Polymer ,MediaTek Helio P22 (64 bit) 
11,Realme,6,Comet Blue,"15,999","17,999",6 GB,64GB,16.51 cm ,4300 mAh ,MediaTek Helio G90T 
12,Infinix,Hot 9 Pro,Ocean Wave,"10,499","12,999",4 GB,64GB,16.76 cm ,5000 mAh Li-ion Polymer ,MediaTek Helio P22 (64 bit) 
13,Redmi,8,Emerald Green,"9,999","10,999",4 GB,64GB,15.8 cm ,5000 mAh ,Qualcomm Snapdragon 439 
14,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
15,POCO,X2,Matrix Purple,"18,499","19,999",6 GB,128GB,16.94 cm ,4500 mAh Lithium-ion Polymer ,Qualcomm Snapdragon 730G 
16,POCO,X2,Atlantis Blue,"18,499","19,999",6 GB,128GB,16.94 cm ,4500 mAh Lithium-ion Polymer ,Qualcomm Snapdragon 730G 
17,Realme,C2,Diamond Blue,"6,999","7,999",2 GB,32GB,15.49 cm ,4000 mAh ,MediaTek P22 Octa Core 2.0 GHz 
18,Realme,6i,Eclipse Black,"14,999","15,999",6 GB,64GB,16.51 cm ,4300 mAh ,MediaTek Helio G90T 
19,Realme,6i,Eclipse Black,"12,999","14,999",4 GB,64GB,16.51 cm ,4300 mAh ,MediaTek Helio G90T 
20,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
21,Realme,6,Comet White,"15,999","17,999",6 GB,64GB,16.51 cm ,4300 mAh ,MediaTek Helio G90T 
22,Realme,6i,Lunar White,"14,999","15,999",6 GB,64GB,16.51 cm ,4300 mAh ,MediaTek Helio G90T 
23,Realme,6i,Lunar White,"12,999","14,999",4 GB,64GB,16.51 cm ,4300 mAh ,MediaTek Helio G90T 
24,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
25,Realme,C3,Frozen Blue,"8,999","8,999",3 GB,32GB,16.56 cm ,5000 mAh ,Helio G70 
26,Realme,6 Pro,Lightning Blue,"17,999","17,999",6 GB,64GB,16.76 cm ,4300 mAh ,Snapdragon 720G 
27,Apple,iPhone SE,White,"36,999","42,500",, 64 GB,11.94 cm ,,A13 Bionic Chip with 3rd Gen Neural Engine 
28,Apple,iPhone SE,Red,"36,999","42,500",, 64 GB,11.94 cm ,,A13 Bionic Chip with 3rd Gen Neural Engine 
29,OPPO,A5s,Blue,"7,990","12,990",2 GB,32GB,15.75 cm ,4230 mAh ,MTK MT6765 
30,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
31,OPPO,A5s,Black,"10,990","15,990",4 GB,64GB,15.75 cm ,4230 mAh ,MTK MT6765 
32,Motorola,G8 Power Lite,Royal Blue,"9,999","9,999",4 GB,64GB,16.51 cm ,5000 mAh Lithium-ion ,MediaTek Helio P35 
33,Realme,Narzo 10A,So White,"8,999","9,999",3 GB,32GB,16.56 cm ,5000 mAh Lithium-ion ,MediaTek Helio G70 (12 nm) 
34,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
35,Realme,Narzo 10A,So White,"9,999","10,999",4 GB,64GB,16.56 cm ,5000 mAh Lithium-ion ,MediaTek Helio G70 (12 nm) 
36,Realme,Narzo 10A,So Blue,"9,999","10,999",4 GB,64GB,16.56 cm ,5000 mAh Lithium-ion ,MediaTek Helio G70 (12 nm) 
37,Realme,Narzo 10A,So Blue,"8,999","9,999",3 GB,32GB,16.56 cm ,5000 mAh Lithium-ion ,MediaTek Helio G70 (12 nm) 
38,Apple,iPhone XR,Black,"45,999","52,500",, 64 GB,15.49 cm ,,A12 Bionic Chip 
39,Redmi,Note 8 Pro,Gamma Green,"15,999","16,999",6 GB,64GB,16.59 cm ,4500 mAh Li-polymer ,MediaTek Helio G90T 
40,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
41,Realme,6,Comet Blue,"17,999","17,999",8 GB,128GB,16.51 cm ,4300 mAh ,MediaTek Helio G90T 
42,OPPO,Reno2 F,Lake Green,"17,990","19,990",6 GB, 256 GB,16.51 cm ,4000 mAh ,MTK MT6771V(P70) 64bit 
43,OPPO,Reno2 F,Lake Green,"21,990","28,990",8 GB, 128 GB,16.51 cm ,4000 mAh ,MTK MT6771V(P70) 64bit 
44,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
45,OPPO,A5s,Gold,"10,990","15,990",4 GB,64GB,15.75 cm ,4230 mAh ,MTK MT6765 
